country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB","09-04-2026 11:00:00",16.509717,80.612222,CO,22,34,30
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB","09-04-2026 11:00:00",16.554731,80.649110,PM10,57,72,67
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB","09-04-2026 11:00:00",16.554731,80.649110,SO2,5,15,10
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","09-04-2026 11:00:00",17.72,83.3,PM2.5,36,117,72
India,Andhra_Pradesh,Machilipatnam,"Srinivas Nagar Colony, Machilipatnam - APPCB","09-04-2026 11:00:00",16.186555,81.13219,NH3,6,10,8
India,Andhra_Pradesh,Machilipatnam,"Srinivas Nagar Colony, Machilipatnam - APPCB","09-04-2026 11:00:00",16.186555,81.13219,SO2,11,60,15
India,Andhra_Pradesh,Machilipatnam,"Srinivas Nagar Colony, Machilipatnam - APPCB","09-04-2026 11:00:00",16.186555,81.13219,CO,22,100,72
India,Andhra_Pradesh,Machilipatnam,"Srinivas Nagar Colony, Machilipatnam - APPCB","09-04-2026 11:00:00",16.186555,81.13219,OZONE,34,38,34
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA","09-04-2026 11:00:00",26.181742,91.78063,PM2.5,2,132,47
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA","09-04-2026 11:00:00",26.181742,91.78063,NO2,3,4,3
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA","09-04-2026 11:00:00",26.349082,92.68449,OZONE,8,13,11
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","09-04-2026 11:00:00",17.72,83.3,OZONE,5,40,16
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB","09-04-2026 11:00:00",27.103358,93.679645,NH3,NA,NA,NA
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB","09-04-2026 11:00:00",13.67,79.35,PM10,47,87,69
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB","09-04-2026 11:00:00",13.67,79.35,SO2,2,14,6
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB","09-04-2026 11:00:00",13.67,79.35,CO,16,34,20
India,Andhra_Pradesh,Guntur,"Rajendra Nagar North, Guntur - APPCB","09-04-2026 11:00:00",16.316553,80.413302,NO2,16,28,22
India,Andhra_Pradesh,Guntur,"Rajendra Nagar North, Guntur - APPCB","09-04-2026 11:00:00",16.316553,80.413302,CO,11,30,15
India,Andhra_Pradesh,Nellore,"Ambedkar Nagar, Nellore - APPCB ","09-04-2026 11:00:00","14.438164 ","79.966814 ",PM10,33,91,61
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB","09-04-2026 11:00:00",13.615387,79.409230,CO,14,35,17
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB","09-04-2026 11:00:00",13.615387,79.409230,PM2.5,NA,NA,NA
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB","09-04-2026 11:00:00",14.465052,78.824187,NH3,4,7,6
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB","09-04-2026 11:00:00",24.75746,84.366208,PM10,32,175,86
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB","09-04-2026 11:00:00",24.75746,84.366208,CO,100,102,102
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB","09-04-2026 11:00:00",24.75746,84.366208,OZONE,6,40,14
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB","09-04-2026 11:00:00",25.42742023,86.13886079,PM2.5,NA,NA,NA
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB","09-04-2026 11:00:00",25.42742023,86.13886079,NH3,3,4,4
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB","09-04-2026 11:00:00",25.7808257,84.7446768,CO,8,12,9
India,Bihar,Gaya,"Collectorate, Gaya - BSPCB","09-04-2026 11:00:00",24.7955,84.9994,PM2.5,NA,NA,NA
India,Bihar,Gaya,"Collectorate, Gaya - BSPCB","09-04-2026 11:00:00",24.7955,84.9994,OZONE,19,20,19
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB","09-04-2026 11:00:00",24.792403,84.992416,CO,1,6,6
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB","09-04-2026 11:00:00",25.251013,86.989001,NO2,6,11,9
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB","09-04-2026 11:00:00",25.265194,87.012947,NH3,5,7,6
India,Bihar,"Bihar Sharif","D M Colony, Bihar Sharif - BSPCB","09-04-2026 11:00:00",25.204762,85.514960,CO,44,64,60
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB","09-04-2026 11:00:00",26.80365,84.51954,OZONE,22,25,24
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB","09-04-2026 11:00:00",26.146529,87.454184,PM10,18,98,60
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB","09-04-2026 11:00:00",25.567520,83.966379,PM2.5,NA,NA,NA
India,Assam,Silchar,"Tarapur, Silchar - PCBA","09-04-2026 11:00:00",24.82827,92.79525,OZONE,2,6,2
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB","09-04-2026 11:00:00",26.63086,84.90051,OZONE,2,4,3
India,Bihar,Munger,"Town Hall, Munger - BSPCB","09-04-2026 11:00:00",25.376776,86.471523,CO,NA,NA,NA
India,Bihar,Munger,"Town Hall, Munger - BSPCB","09-04-2026 11:00:00",25.376776,86.471523,OZONE,NA,NA,NA
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB","09-04-2026 11:00:00",26.11442,85.39813,PM2.5,55,224,128
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB","09-04-2026 11:00:00",25.697189,85.245900,PM2.5,67,222,134
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB","09-04-2026 11:00:00",25.697189,85.245900,CO,15,48,41
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB","09-04-2026 11:00:00",25.560083,87.553265,PM2.5,13,27,19
India,Bihar,Patna,"Muradpur, Patna - BSPCB","09-04-2026 11:00:00",25.619651,85.147382,CO,4,30,18
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB","09-04-2026 11:00:00",25.599486,85.113666,PM2.5,56,97,68
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB","09-04-2026 11:00:00",25.599486,85.113666,PM10,75,126,97
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB","09-04-2026 11:00:00",26.63086,84.90051,PM10,12,80,44
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB","09-04-2026 11:00:00",26.63086,84.90051,NO2,8,12,10
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB","09-04-2026 11:00:00",26.63086,84.90051,NH3,3,3,3
