Item,Value (Rs. in crore) - 2011-12 - Q1,Value (Rs. in crore) - 2011-12 - Q2,Value (Rs. in crore) - 2011-12 - Q3,Value (Rs. in crore) - 2011-12 - Q4,Value (Rs. in crore) - 2012-13 - Q1,Value (Rs. in crore) - 2012-13 - Q2,Value (Rs. in crore) - 2012-13 - Q3,Value (Rs. in crore) - 2012-13 - Q4,Value (Rs. in crore) - 2013-14 - Q1,Value (Rs. in crore) - 2013-14 - Q2,Value (Rs. in crore) - 2013-14 - Q3,Value (Rs. in crore) - 2013-14 - Q4,Value (Rs. in crore) - 2014-15 - Q1,Value (Rs. in crore) - 2014-15 - Q2,Value (Rs. in crore) - 2014-15 - Q3,Value (Rs. in crore) - 2014-15 - Q4,Value (Rs. in crore) - 2015-16 - Q1,Value (Rs. in crore) - 2015-16 - Q2,Value (Rs. in crore) - 2015-16 - Q3,Value (Rs. in crore) - 2015-16 - Q4,Value (Rs. in crore) - 2016-17 - Q1,Value (Rs. in crore) - 2016-17 - Q2,Value (Rs. in crore) - 2016-17 - Q3,Value (Rs. in crore) - 2016-17 - Q4,Value (Rs. in crore) - 2017-18 - Q1,Value (Rs. in crore) - 2017-18 - Q2,Value (Rs. in crore) - 2017-18 - Q3,Value (Rs. in crore) - 2017-18 - Q4,Value (Rs. in crore) - 2018-19 - Q1,Value (Rs. in crore) - 2018-19 - Q2,Value (Rs. in crore) - 2018-19 - Q3,Value (Rs. in crore) - 2018-19 - Q4,Value (Rs. in crore) - 2019-20 - Q1,Value (Rs. in crore) - 2019-20 - Q2,Value (Rs. in crore) - 2019-20 - Q3,Value (Rs. in crore) - 2019-20 - Q4,Value (Rs. in crore) - 2020-21 - Q1,Value (Rs. in crore) - 2020-21 - Q2,Value (Rs. in crore) - 2020-21 - Q3,Value (Rs. in crore) - 2020-21 - Q4,Value (Rs. in crore) - 2021-22 - Q1,Value (Rs. in crore) - 2021-22 - Q2,Value (Rs. in crore) - 2021-22 - Q3,Value (Rs. in crore) - 2021-22 - Q4,Value (Rs. in crore) - 2022-23 - Q1,Growth Rate (%) - 2012-13 - Q1,Growth Rate (%) - 2012-13 - Q2,Growth Rate (%) - 2012-13 - Q3,Growth Rate (%) - 2012-13 - Q4,Growth Rate (%) - 2013-14 - Q1,Growth Rate (%) - 2013-14 - Q2,Growth Rate (%) - 2013-14 - Q3,Growth Rate (%) - 2013-14 - Q4,Growth Rate (%) - 2014-15 - Q1,Growth Rate (%) - 2014-15 - Q2,Growth Rate (%) - 2014-15 - Q3,Growth Rate (%) - 2014-15 - Q4,Growth Rate (%) - 2015-16 - Q1,Growth Rate (%) - 2015-16 - Q2,Growth Rate (%) - 2015-16 - Q3,Growth Rate (%) - 2015-16 - Q4,Growth Rate (%) - 2016-17 - Q1,Growth Rate (%) - 2016-17 - Q2,Growth Rate (%) - 2016-17 - Q3,Growth Rate (%) - 2016-17 - Q4,Growth Rate (%) - 2017-18 - Q1,Growth Rate (%) - 2017-18 - Q2,Growth Rate (%) - 2017-18 - Q3,Growth Rate (%) - 2017-18 - Q4,Growth Rate (%) - 2018-19 - Q1,Growth Rate (%) - 2018-19 - Q2,Growth Rate (%) - 2018-19 - Q3,Growth Rate (%) - 2018-19 - Q4,Growth Rate (%) - 2019-20 - Q1,Growth Rate (%) - 2019-20 - Q2,Growth Rate (%) - 2019-20 - Q3,Growth Rate (%) - 2019-20 - Q4,Growth Rate (%) - 2020-21 - Q1,Growth Rate (%) - 2020-21 - Q2,Growth Rate (%) - 2020-21 - Q3,Growth Rate (%) - 2020-21 - Q4,Growth Rate (%) - 2021-22 - Q1,Growth Rate (%) - 2021-22 - Q2,Growth Rate (%) - 2021-22 - Q3,Growth Rate (%) - 2021-22 - Q4,Growth Rate (%) - 2022-23 - Q1,Rates of GDP (%) - 2011-12 - Q1,Rates of GDP (%) - 2011-12 - Q2,Rates of GDP (%) - 2011-12 - Q3,Rates of GDP (%) - 2011-12 - Q4,Rates of GDP (%) - 2012-13 - Q1,Rates of GDP (%) - 2012-13 - Q2,Rates of GDP (%) - 2012-13 - Q3,Rates of GDP (%) - 2012-13 - Q4,Rates of GDP (%) - 2013-14 - Q1,Rates of GDP (%) - 2013-14 - Q2,Rates of GDP (%) - 2013-14 - Q3,Rates of GDP (%) - 2013-14 - Q4,Rates of GDP (%) - 2014-15 - Q1,Rates of GDP (%) - 2014-15 - Q2,Rates of GDP (%) - 2014-15 - Q3,Rates of GDP (%) - 2014-15 - Q4,Rates of GDP (%) - 2015-16 - Q1,Rates of GDP (%) - 2015-16 - Q2,Rates of GDP (%) - 2015-16 - Q3,Rates of GDP (%) - 2015-16 - Q4,Rates of GDP (%) - 2016-17 - Q1,Rates of GDP (%) - 2016-17 - Q2,Rates of GDP (%) - 2016-17 - Q3,Rates of GDP (%) - 2016-17 - Q4,Rates of GDP (%) - 2017-18 - Q1,Rates of GDP (%) - 2017-18 - Q2,Rates of GDP (%) - 2017-18 - Q3,Rates of GDP (%) - 2017-18 - Q4,Rates of GDP (%) - 2018-19 - Q1,Rates of GDP (%) - 2018-19 - Q2,Rates of GDP (%) - 2018-19 - Q3,Rates of GDP (%) - 2018-19 - Q4,Rates of GDP (%) - 2019-20 - Q1,Rates of GDP (%) - 2019-20 - Q2,Rates of GDP (%) - 2019-20 - Q3,Rates of GDP (%) - 2019-20 - Q4,Rates of GDP (%) - 2020-21 - Q1,Rates of GDP (%) - 2020-21 - Q2,Rates of GDP (%) - 2020-21 - Q3,Rates of GDP (%) - 2020-21 - Q4,Rates of GDP (%) - 2021-22 - Q1,Rates of GDP (%) - 2021-22 - Q2,Rates of GDP (%) - 2021-22 - Q3,Rates of GDP (%) - 2021-22 - Q4,Rates of GDP (%) - 2022-23 - Q1
"1. Agriculture, forestry & fishing",323221.72,270231.38,505545.34,402948.88,360094.46,302960.79,557596.77,454454.48,407712.55,350835.2,670113.18,497710.94,460964.43,404350,688922.91,539374.22,499370.09,424241.24,721066.22,582855.32,573091.66,485561.87,801318.3,658690.2,620726.62,551157.19,914936.58,743005.46,686739.32,591790.48,957922.19,793473.05,736647.29,640470.64,1085522.02,895723.78,782412.53,695179.79,1180832.63,951069.29,847041.93,743042.75,1294054.48,1095928.05,994817.55,11.41,12.11,10.3,12.78,13.22,15.8,20.18,9.52,13.06,15.25,2.81,8.37,8.33,4.92,4.67,8.06,14.76,14.45,11.13,13.01,8.31,13.51,14.18,12.8,10.63,7.37,4.7,6.79,7.27,8.23,13.32,12.89,6.21,8.54,8.78,6.18,8.26,6.88,9.59,15.23,17.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2. Mining & quarrying,64670.25,55462.63,65815.18,75087.31,75789.47,59898.66,70446.72,79707.16,70645.48,63145.1,74589.2,87414.56,95040.28,68894.15,72719.59,71822.03,90269.16,61138.12,68977.19,73626.69,81934.46,60517.91,76935.01,107420.53,82157.28,67314.83,82691.56,103945.46,94249.68,79982.98,95524.7,107903.72,94643.24,72395.94,85975.06,105503.02,65417.61,64524.9,78868.31,116168.93,109284.78,100276.83,129419.61,174094.44,174255.15,17.19,8,7.04,6.15,-6.79,5.42,5.88,9.67,34.53,9.1,-2.51,-17.84,-5.02,-11.26,-5.15,2.51,-9.23,-1.01,11.54,45.9,0.27,11.23,7.48,-3.24,14.72,18.82,15.52,3.81,0.42,-9.49,-10,-2.22,-30.88,-10.87,-8.27,10.11,67.06,55.41,64.1,49.86,59.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3. Manufacturing,350857.05,329936.53,334726.67,394465.31,374606.43,395938.88,377768.42,424523.17,413130.91,424394.52,416194.28,459731.89,471159.16,476473.81,435194.66,495541.52,530751.51,534068.63,506026.74,575341.92,575996.96,575851.61,554949.63,626923.16,588489.12,638557.61,625337.68,714238.95,676170.09,704495.01,685106.84,746787.01,677967.12,671108.18,649321.57,706412.54,453728.48,698446.43,710550.28,846710.14,749345.56,824612.12,800156.87,933200.41,866133.72,6.77,20,12.86,7.62,10.28,7.19,10.17,8.29,14.05,12.27,4.57,7.79,12.65,12.09,16.28,16.1,8.52,7.82,9.67,8.97,2.17,10.89,12.68,13.93,14.9,10.33,9.56,4.56,0.27,-4.74,-5.22,-5.41,-33.08,4.07,9.43,19.86,65.15,18.06,12.61,10.21,15.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4. Electricity, gas ,water supply& other utility services",44661.97,46631.13,47957.24,47417.66,54330.44,52470.72,54453.3,54095.19,62946.29,65066.08,64910.78,67231.45,69661.88,71640.89,70690.7,70264.31,83639.89,87112,81633.54,82579.18,88421.81,89213.46,88828.72,89245,107019.58,107508.11,104036.49,107153.55,112151.65,116805.34,112012.81,108489.13,129482.22,126976.77,118638.27,126520.26,115605.32,123752.25,129362,138632.69,128982.35,138571.56,150910.77,168214.43,174750.49,21.65,12.52,13.55,14.08,15.86,24,19.2,24.28,10.67,10.1,8.9,4.51,20.07,21.6,15.48,17.53,5.72,2.41,8.81,8.07,21.03,20.51,17.12,20.07,4.8,8.65,7.67,1.25,15.45,8.71,5.91,16.62,-10.72,-2.54,9.04,9.57,11.57,11.97,16.66,21.34,35.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5. Construction,182218.75,189095.78,197079.15,208940.87,203182.41,202601.56,211962.69,231618.24,221810,224408.15,231689.92,243561.91,247541.16,246390.44,242325.39,242828.89,253252.44,237074.17,248149.31,252607.78,273537.97,262498.38,274360.34,270473.4,288042.91,281258.11,306395.07,324717.75,326661.9,316330.19,347401.5,361725.24,350517.66,317819.87,335097.92,369323.8,170899.25,293689.79,370557.53,480461.38,345254.3,380175.64,431680.23,561987.51,458046.37,11.5,7.14,7.55,10.85,9.17,10.76,9.31,5.16,11.6,9.8,4.59,-0.3,2.31,-3.78,2.4,4.03,8.01,10.72,10.56,7.07,5.3,7.15,11.68,20.06,13.41,12.47,13.38,11.4,7.3,0.47,-3.54,2.1,-51.24,-7.59,10.58,30.09,102.02,29.45,16.49,16.97,32.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6. Trade, hotels, transport, communication and services related to broadcasting ",330069.72,337631.45,351579.17,393835.72,394347.31,403845.64,412552.38,453240.38,427469.74,456945.9,480885.7,509165.27,508205.44,517595.34,514665.79,567129.93,553747.77,541865.62,558605.4,640294.06,607115.5,594623.85,619241.88,718174.62,691827.34,675948.07,709164.09,801982.69,778777.24,757308.97,791377.36,875298.66,852337.5,819648.25,860063.42,946443.52,425389.3,676119.14,795717.17,969167.57,625257.8,812124.19,948462.64,1143051.16,909298.34,19.47,19.61,17.34,15.08,8.4,13.15,16.56,12.34,18.89,13.27,7.02,11.38,8.96,4.69,8.54,12.9,9.64,9.73,10.86,12.17,13.95,13.68,14.52,11.67,12.57,12.04,11.59,9.14,9.45,8.23,8.68,8.13,-50.09,-17.51,-7.48,2.4,46.98,20.12,19.2,17.94,45.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7. Financial, real estate & professional services ",395102,407657.04,343064.87,385053.47,461069.59,479903.82,400489.21,435169.44,533978.44,585665.61,459327.06,490537.11,620774.1,695118.25,520846.57,526607.77,690657.28,773346.79,577563.71,584570.05,783003.33,874052.53,619110.18,635270.6,844181.8,914863.48,682492.42,685674,946708.53,1036517.09,769435.2,776837.36,1064892.14,1145687.31,828768.87,839989.34,1038123.21,1089446.11,946718.57,971471.72,1145774.08,1243936.13,1065701.92,1087891.03,1383177.61,16.7,17.72,16.74,13.02,15.81,22.04,14.69,12.72,16.25,18.69,13.39,7.35,11.26,11.25,10.89,11.01,13.37,13.02,7.19,8.67,7.81,4.67,10.24,7.93,12.15,13.3,12.74,13.3,12.48,10.53,7.71,8.13,-2.51,-4.91,14.23,15.65,10.37,14.18,12.57,11.98,20.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8. Public administration, defence and Other Services",225668.84,263656.97,245398.66,291257.28,263981.77,304586.74,271594.08,323411.79,303684.09,341392.02,308435.35,348423.93,334552.21,390144.49,394998.01,371841.17,371179.19,433095.75,442647.76,413144.14,417100.78,484122.26,503381.06,494233.21,485075.67,537192.8,566514.78,552058.14,552771.23,607708.53,630757.55,629907.72,640601.63,676067.95,695381,689161.35,605213.01,637464.05,704590.74,731519.66,672313.62,800617.71,865762.9,832271.34,890175.56,16.98,15.52,10.67,11.04,15.04,12.08,13.56,7.73,10.16,14.28,28.07,6.72,10.95,11.01,12.06,11.11,12.37,11.78,13.72,19.63,16.3,10.96,12.54,11.7,13.96,13.13,11.34,14.1,15.89,11.25,10.25,9.41,-5.52,-5.71,1.32,6.15,11.09,25.59,22.87,13.77,32.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
 9. GVA at Basic Price,1916470.3,1900302.91,2091166.28,2199006.5,2187401.88,2202206.81,2356863.56,2456219.86,2441377.22,2511852.34,2706145.18,2703777.87,2807898.65,2870607.38,2940363.62,2885409.84,3072867.32,3091942.32,3204669.86,3205019.14,3400202.48,3426441.86,3538125.12,3600430.72,3707520.33,3773800.2,3991568.68,4032776.01,4174229.65,4210938.59,4389538.16,4400421.9,4547088.8,4470174.9,4658768.14,4679077.61,3656788.72,4278622.46,4917197.24,5205201.37,4623254.42,5043356.93,5686149.44,5996638.38,5850654.78,14.14,15.89,12.71,11.7,11.61,14.06,14.82,10.08,15.01,14.28,8.66,6.72,9.44,7.71,8.99,11.08,10.65,10.82,10.41,12.34,9.04,10.14,12.82,12.01,12.59,11.58,9.97,9.12,8.93,6.16,6.13,6.33,-19.58,-4.29,5.55,11.24,26.43,17.87,15.64,15.2,26.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10. GDP ,2043496.29,2029469.17,2244852.23,2418511.13,2313203.09,2356953.27,2548377.83,2725478.91,2565374.45,2686203.23,2921070.04,3060874.14,2914393.22,3053982.03,3184917.06,3314666.8,3243543.36,3355884.42,3476632.47,3695813.63,3639774.61,3754117.03,3875006.7,4122770.68,4008915.96,4157246.35,4339193.52,4584686,4569369.11,4656017.01,4872998.34,4801283.99,4942455.14,4861652.38,5130411.6,5140336.68,3873443.4,4721818.87,5448542.27,5757109.45,5126789.26,5620166.01,6302446.53,6615235.2,6494736.35,13.2,16.14,13.52,12.69,10.9,13.97,14.62,12.31,13.6,13.69,9.03,8.29,11.29,9.89,9.16,11.5,12.22,11.87,11.46,11.55,10.14,10.74,11.98,11.2,13.98,12,12.3,4.72,8.16,4.42,5.28,7.06,-21.63,-2.88,6.2,12,32.36,19.03,15.67,14.91,26.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
