Sl. No.,State/UT/City,Road Accidents - Cases,Road Accidents - Injured,Road Accidents - Died,Railway Accidents - Cases,Railway Accidents - Injured,Railway Accidents - Died,Railway Crossing Accidents - Cases,Railway Crossing Accidents - Injured,Railway Crossing Accidents - Died,Total Traffic Accidents - Cases,Total Traffic Accidents - Injured,Total Traffic Accidents - Died
1,Andhra Pradesh,21070,21340,8293,1029,0,1037,0,0,0,22099,21340,9330
2,Arunachal Pradesh,215,177,152,0,0,0,0,0,0,215,177,152
3,Assam,7028,5679,3060,689,0,693,22,0,22,7739,5679,3775
4,Bihar,10801,7068,8898,1444,6,1446,52,0,53,12297,7074,10397
5,Chhattisgarh,13091,11459,5890,429,21,429,4,0,4,13524,11480,6323
6,Goa,3012,1071,274,54,0,54,0,0,0,3066,1071,328
7,Gujarat,15777,15139,7634,766,0,777,6,0,6,16549,15139,8417
8,Haryana,10654,8353,5228,1127,26,1101,95,0,95,11876,8379,6424
9,Himachal Pradesh,2484,3891,979,0,0,0,0,0,0,2484,3891,979
10,Jharkhand,5175,3747,3898,362,19,346,7,0,7,5544,3766,4251
11,Karnataka,39765,48154,11705,0,0,0,0,0,0,39765,48154,11705
12,Kerala,43592,49317,4317,194,0,194,184,1,185,43970,49318,4696
13,Madhya Pradesh,51965,51264,13918,1275,0,1275,239,0,239,53479,51264,15432
14,Maharashtra,30546,23878,15748,4827,1686,3145,0,0,0,35373,25564,18893
15,Manipur,508,817,127,2,0,2,0,0,0,510,817,129
16,Meghalaya,246,310,162,0,0,0,0,0,0,246,310,162
17,Mizoram,71,28,83,0,0,0,0,0,0,71,28,83
18,Nagaland,24,42,22,0,0,0,5,0,5,29,42,27
19,Odisha,11663,10269,5470,27,0,27,54,54,0,11744,10323,5497
20,Punjab,6122,3372,4688,978,74,914,0,0,0,7100,3446,5602
21,Rajasthan,23620,22249,11103,942,8,943,0,0,0,24562,22257,12046
22,Sikkim,199,371,98,0,0,0,0,0,0,199,371,98
23,Tamil Nadu,64105,67703,17884,2012,189,1833,0,0,0,66117,67892,19717
24,Telangana,21619,20209,7559,616,0,625,0,0,0,22235,20209,8184
25,Tripura,575,541,241,27,0,27,2,0,2,604,541,270
26,Uttar Pradesh,36875,21696,24109,3190,35,3166,1340,4,1340,41405,21735,28615
27,Uttarakhand,1674,1613,1042,74,0,74,1,0,1,1749,1613,1117
28,West Bengal,10635,8124,5788,2221,286,1935,546,53,493,13402,8463,8216
Total (States),Total (States),433111,407881,168370,22285,2350,20043,2557,112,2452,457953,410343,190865
29,Andaman and Nicobar Islands,141,136,19,0,0,0,0,0,0,141,136,19
30,Chandigarh,238,203,83,0,0,0,0,0,0,238,203,83
31,Dadra and Nicoabr Haveli and Daman and Diu,175,257,80,0,0,0,0,0,0,175,257,80
32,Delhi,5560,4713,1461,796,105,691,0,0,0,6356,4818,2152
33,Jammu and Kashmir,6090,8350,838,49,2,49,3,0,3,6142,8352,890
34,Ladakh,268,333,66,0,0,0,0,0,0,268,333,66
35,Lakshadweep,4,3,2,0,0,0,0,0,0,4,3,2
36,Puducherry,1181,1282,181,9,0,9,0,0,0,1190,1282,190
Total (UTs),Total (UTs),13657,15277,2730,854,107,749,3,0,3,14514,15384,3482
Total (All India),Total (All India),446768,423158,171100,23139,2457,20792,2560,112,2455,472467,425727,194347
37,Agra,729,91,698,66,0,47,11,0,11,806,91,756
38,Ahmedabad,1711,1305,488,40,0,41,0,0,0,1751,1305,529
39,Amritsar,117,62,82,0,0,0,0,0,0,117,62,82
40,Asansol,497,308,365,7,0,7,0,0,0,504,308,372
41,Aurangabad,491,352,204,14,0,14,0,0,0,505,352,218
42,Bengaluru,3822,3189,772,0,0,0,0,0,0,3822,3189,772
43,Bhopal,2788,2151,205,62,0,62,5,0,5,2855,2151,272
44,Chandigarh (city),238,203,83,0,0,0,0,0,0,238,203,83
45,Chennai,3452,3724,507,0,0,0,0,0,0,3452,3724,507
46,Coimbatore,1085,939,272,0,0,0,0,0,0,1085,939,272
47,Delhi (city),5387,4572,1412,796,105,691,0,0,0,6183,4677,2103
48,Dhanbad,179,73,114,0,0,0,0,0,0,179,73,114
49,Durg Bhilainagar,789,601,145,30,0,30,0,0,0,819,601,175
50,Faridabad,629,448,302,0,0,0,0,0,0,629,448,302
51,Ghaziabad,883,661,362,48,0,48,0,0,0,931,661,410
52,Gwalior,1219,1096,151,0,0,0,13,0,13,1232,1096,164
53,Hyderabad,2516,2252,323,0,0,0,0,0,0,2516,2252,323
54,Indore,3317,2731,282,17,0,17,0,0,0,3334,2731,299
55,Jabalpur,2460,2439,167,0,0,0,0,0,0,2460,2439,167
56,Jaipur,2687,2162,765,153,0,153,0,0,0,2840,2162,918
57,Jamshedpur,167,115,68,0,0,0,0,0,0,167,115,68
58,Jodhpur,686,505,267,14,0,14,0,0,0,700,505,281
59,Kannur,1635,2118,149,21,0,21,0,0,0,1656,2118,170
60,Kanpur,1595,955,640,0,0,0,155,0,155,1750,955,795
61,Kochi,2432,2362,156,0,0,0,22,0,22,2454,2362,178
62,Kolkata,1037,816,217,0,0,0,0,0,0,1037,816,217
